"","id","first_name","height_feet","height_inches","last_name","position","weight_pounds","team.id","team.abbreviation","team.city","team.conference","team.division","team.full_name","team.name"
"924",1395,"Maurice",NA,NA,"Evans","",NA,18,"MIN","Minnesota","West","Northwest","Minnesota Timberwolves","Timberwolves"
"925",1396,"Jeryl",NA,NA,"Sasser","",NA,22,"ORL","Orlando","East","Southeast","Orlando Magic","Magic"
"926",1397,"Dean",NA,NA,"Oliver","",NA,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors"
"927",1398,"Norman",NA,NA,"Richardson","",NA,12,"IND","Indiana","East","Central","Indiana Pacers","Pacers"
"928",1399,"Brian",NA,NA,"Scalabrine","",NA,3,"BKN","Brooklyn","East","Atlantic","Brooklyn Nets","Nets"
"929",1400,"Ratko",NA,NA,"Varda","",NA,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons"
"930",1401,"Tremaine",NA,NA,"Fowlkes","",NA,13,"LAC","LA","West","Pacific","LA Clippers","Clippers"
"931",1402,"Mengke",NA,NA,"Bateer","",NA,8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets"
"932",1403,"Ike",NA,NA,"Fontaine","",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"933",1404,"Ansu",NA,NA,"Sesay","",NA,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder"
"934",1405,"Omar",NA,NA,"Cook","",NA,2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics"
"935",1406,"John",NA,NA,"Salmons","",NA,23,"PHI","Philadelphia","East","Atlantic","Philadelphia 76ers","76ers"
"936",1407,"Efthimios",NA,NA,"Rentzias","",NA,23,"PHI","Philadelphia","East","Atlantic","Philadelphia 76ers","76ers"
"937",1408,"Pat",NA,NA,"Burke","C",NA,22,"ORL","Orlando","East","Southeast","Orlando Magic","Magic"
"938",1409,"Ryan",NA,NA,"Humphrey","",NA,22,"ORL","Orlando","East","Southeast","Orlando Magic","Magic"
"939",1410,"Carlos",NA,NA,"Boozer","",NA,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers"
"940",1411,"Smush",NA,NA,"Parker","",NA,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers"
"941",1412,"Manu",NA,NA,"Ginobili","",NA,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"942",1413,"Jannero",NA,NA,"Pargo","",NA,14,"LAL","Los Angeles","West","Pacific","Los Angeles Lakers","Lakers"
"943",1414,"Kareem",NA,NA,"Rush","",NA,14,"LAL","Los Angeles","West","Pacific","Los Angeles Lakers","Lakers"
"944",1415,"Frank",NA,NA,"Williams","",NA,20,"NYK","New York","East","Atlantic","New York Knicks","Knicks"
"945",1416,"Tayshaun",NA,NA,"Prince","",NA,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons"
