"","id","first_name","last_name","team","PER","WS.48","BPM","VORP"
"128",1800,"Chris","Douglas-Roberts","DAL",8.3,0.041,-3.8,0
"129",1980,"Jared","Cunningham","DAL",14.8,0.033,-1.5,0
"130",1376,"Eddy","Curry","DAL",-0.2,-0.146,-14.9,-0.1
"131",2029,"Josh","Akognon","DAL",15.3,0.196,-3,0
"132",1971,"Justin","Dentmon","DAL",-19.4,-0.571,-24.7,0
"134",2028,"Chris","Wright","DAL",-1.9,-0.375,-19.2,0
"135",224,"Andre","Iguodala","DEN",15.2,0.097,2.6,3.3
"136",1849,"Ty","Lawson","DEN",17.9,0.141,2,2.5
"137",167,"Danilo","Gallinari","DEN",16.7,0.151,2.8,2.8
"138",152,"Kenneth","Faried","DEN",18.5,0.167,1.1,1.7
"139",1222,"Andre","Miller","DEN",15.7,0.12,0.9,1.6
"140",1764,"Corey","Brewer","DEN",14.7,0.093,0.4,1.2
"141",263,"Kosta","Koufos","DEN",17.2,0.171,0.6,1.2
"142",306,"JaVale","McGee","DEN",20.7,0.163,1.6,1.3
"143",95,"Wilson","Chandler","DEN",16.6,0.137,0.5,0.7
"144",160,"Evan","Fournier","DEN",13.8,0.115,-1.4,0.1
"145",1953,"Jordan","Hamilton","DEN",16.9,0.1,0.9,0.3
"146",332,"Timofey","Mozgov","DEN",12.3,0.096,-3.7,-0.2
"147",1806,"Anthony","Randolph","DEN",15.6,0.073,-2.9,-0.1
"148",1955,"Julyan","Stone","DEN",11.4,0.128,-0.1,0
"149",2001,"Quincy","Miller","DEN",5.9,-0.051,-9.2,0
"150",325,"Greg","Monroe","DET",19.5,0.105,1.8,2.6
"151",258,"Brandon","Knight","DET",12,0.022,-2.8,-0.5
"152",1991,"Kyle","Singler","DET",10,0.048,-3,-0.6
"153",1784,"Rodney","Stuckey","DET",13,0.055,-1.8,0.1
"154",1628,"Jason","Maxiell","DET",11.3,0.047,-3.4,-0.6
"155",1416,"Tayshaun","Prince","DET",12.5,0.057,-1.4,0.2
"156",137,"Andre","Drummond","DET",21.6,0.172,2.5,1.4
"157",1667,"Will","Bynum","DET",16.6,0.067,-1,0.3
"158",1627,"Charlie","Villanueva","DET",14,0.069,0,0.6
"159",239,"Jonas","Jerebko","DET",15.7,0.107,-0.1,0.4
"160",80,"José","Calderón","DET",18.2,0.163,2.5,1
"161",315,"Khris","Middleton","DET",11.4,0.089,-1.9,0
"162",1990,"Kim","English","DET",7.9,0.021,-4.2,-0.2
"163",1853,"Austin","Daye","DET",12.6,0.108,-0.2,0.2
"164",1235,"Corey","Maggette","DET",7.9,0.017,-5.9,-0.2
"165",2018,"Viacheslav","Kravtsov","DET",14.4,0.086,-2,0
"166",115,"Stephen","Curry","GSW",21.3,0.18,5.4,5.6
"167",443,"Klay","Thompson","GSW",12.7,0.07,-0.3,1.3
"168",1641,"David","Lee","GSW",19.2,0.15,1.8,2.8
"169",1619,"Jarrett","Jack","GSW",15.9,0.115,0.5,1.4
"170",30,"Harrison","Barnes","GSW",11,0.065,-1.7,0.1
"171",1781,"Carl","Landry","GSW",17.5,0.159,-0.2,0.8
"172",1998,"Festus","Ezeli","GSW",9.3,0.066,-3.4,-0.4
"173",185,"Draymond","Green","GSW",7.1,0.028,-3.6,-0.4
"174",1593,"Andrew","Bogut","GSW",13.8,0.106,1.4,0.7
"175",1346,"Richard","Jefferson","GSW",10.3,0.081,-1.3,0.1
"176",1548,"Andris","Biedriņš","GSW",7.7,0.102,-1,0.1
"177",1930,"Charles","Jenkins","GSW",6.9,-0.018,-5.4,-0.3
"178",36,"Kent","Bazemore","GSW",11.3,0.014,-2.4,0
"179",1931,"Jeremy","Tyler","GSW",6.1,-0.063,-9.4,-0.1
"180",1803,"Brandon","Rush","GSW",11.9,0.051,-1,0
"181",1961,"Malcolm","Thomas","GSW",8.8,0.077,0.4,0
"182",192,"James","Harden","HOU",23,0.206,5.6,5.8
"183",364,"Chandler","Parsons","HOU",15.3,0.121,2,2.8
"184",279,"Jeremy","Lin","HOU",14.9,0.099,0.3,1.5
"185",1895,"Ömer","Aşık","HOU",14.9,0.108,-1.6,0.3
"186",1529,"Carlos","Delfino","HOU",13.3,0.101,1.4,1.5
"187",365,"Patrick","Patterson","HOU",15.5,0.12,0.2,0.7
"188",328,"Marcus","Morris","HOU",12.1,0.084,-1.2,0.2
"189",1964,"Greg","Smith","HOU",16.1,0.172,-0.6,0.4
"190",1850,"Toney","Douglas","HOU",12.3,0.081,-1.5,0.1
"191",45,"Patrick","Beverley","HOU",15.4,0.148,3.8,1
"192",1988,"Donatas","Motiejūnas","HOU",12.2,0.061,-3.5,-0.2
"193",1597,"Francisco","García","HOU",12.2,0.101,1.8,0.3
"194",1897,"James","Anderson","HOU",14.2,0.105,1.2,0.2
"195",1987,"Terrence","Jones","HOU",17.1,0.128,1.7,0.3
"196",1996,"Thomas","Robinson","HOU",12,0.024,-4.2,-0.1
"197",1896,"Cole","Aldrich","HOU",7.3,0.038,-5,-0.2
"198",1758,"Daequan","Cook","HOU",8.8,0.03,-1.6,0
"199",1777,"Aaron","Brooks","HOU",5.6,-0.063,-4,0
"200",2016,"Scott","Machado","HOU",6,-0.23,-8.8,0
"201",2026,"Tim","Ohlbrecht","HOU",-6.1,-0.369,-17.2,0
"202",172,"Paul","George","IND",16.8,0.145,3.8,4.4
"203",211,"George","Hill","IND",16.6,0.177,3.3,3.5
"204",1481,"David","West","IND",20.1,0.179,4,3.7
"205",431,"Lance","Stephenson","IND",11.8,0.115,0,1.2
"206",1804,"Roy","Hibbert","IND",17.3,0.129,-0.3,0.9
"207",1863,"Tyler","Hansbrough","IND",15.3,0.154,-1.9,0
"208",294,"Ian","Mahinmi","IND",10.6,0.083,-3.4,-0.5
"209",21,"D.J.","Augustin","IND",11,0.112,-0.6,0.5
"210",186,"Gerald","Green","IND",9.9,0.056,-1.9,0
"211",1855,"Sam","Young","IND",7.5,0.062,-2.7,-0.1
"212",1995,"Orlando","Johnson","IND",11.4,0.115,0.2,0.3
"213",1865,"Jeff","Ayres","IND",14.5,0.129,-1,0.1
"214",1994,"Ben","Hansbrough","IND",7.2,0.044,-4.2,-0.1
"215",1617,"Danny","Granger","IND",4,-0.075,-8.7,-0.1
"216",372,"Miles","Plumlee","IND",8.8,-0.015,-7.8,-0.1
"217",1747,"Dominic","McGuire","IND",-6,-0.239,-14.2,0
"218",189,"Blake","Griffin","LAC",22.4,0.196,4.1,4
"219",367,"Chris","Paul","LAC",26.4,0.287,8.8,6.4
"220",111,"Jamal","Crawford","LAC",16.8,0.116,1,1.7
"221",1522,"Matt","Barnes","LAC",15.5,0.146,1.8,2
"222",250,"DeAndre","Jordan","LAC",17.2,0.148,-0.2,0.9
"223",1439,"Caron","Butler","LAC",12.4,0.091,-1.3,0.3
"224",1216,"Lamar","Odom","LAC",10.9,0.081,-0.7,0.6
"225",51,"Eric","Bledsoe","LAC",17.5,0.115,3.5,2.2
"226",1474,"Willie","Green","LAC",11.8,0.103,-0.8,0.3
"227",1662,"Ronny","Turiaf","LAC",9.4,0.075,-1.7,0.1
"228",1732,"Ryan","Hollins","LAC",11.3,0.125,-3.9,-0.3
"229",879,"Grant","Hill","LAC",4.8,-0.014,-5.6,-0.4
"230",1097,"Chauncey","Billups","LAC",15,0.146,0.5,0.3
"231",2002,"Maalik","Wayns","LAC",19.5,0.227,0.9,0
"232",1861,"DaJuan","Summers","LAC",4.3,-0.124,-8.9,0
"233",1043,"Kobe","Bryant","LAL",23,0.174,4.6,5
"234",220,"Dwight","Howard","LAL",19.4,0.134,0.6,1.8
"235",1249,"Metta","World Peace","LAL",12.5,0.086,0.4,1.5
"236",311,"Jodie","Meeks","LAL",11.4,0.085,-1,0.4
"237",170,"Pau","Gasol","LAL",16.7,0.107,2,1.7
"238",1198,"Antawn","Jamison","LAL",15.3,0.126,-0.1,0.8
"239",1039,"Steve","Nash","LAL",16,0.127,0.4,1
"240",1857,"Earl","Clark","LAL",12.4,0.08,-0.7,0.4
"241",1497,"Steve","Blake","LAL",11.7,0.097,0.5,0.7
"242",1564,"Chris","Duhon","LAL",8,0.056,-2.9,-0.2
"243",1957,"Darius","Morris","LAL",8.1,0.016,-4.2,-0.4
"244",1851,"Jordan","Hill","LAL",18.5,0.147,-1.6,0
"245",1982,"Robert","Sacre","LAL",3.4,-0.024,-8.8,-0.4
"246",1876,"Devin","Ebanks","LAL",6.3,-0.025,-7.7,-0.3
"247",1932,"Andrew","Goudelock","LAL",-6.4,-0.264,-15.9,0
"248",2021,"Darius","Johnson-Odom","LAL",-6.7,-0.439,-21,0
"249",169,"Marc","Gasol","MEM",19.5,0.197,5.2,5.1
"250",104,"Mike","Conley","MEM",18.3,0.172,4.6,4.6
"251",388,"Zach","Randolph","MEM",17.9,0.145,0.2,1.5
"252",1552,"Tony","Allen","MEM",13.2,0.115,0.4,1.2
"253",34,"Jerryd","Bayless","MEM",13.5,0.108,0.1,1
"254",171,"Rudy","Gay","MEM",14.1,0.075,0.5,0.9
"255",374,"Quincy","Pondexter","MEM",11,0.125,-0.1,0.6
"256",1416,"Tayshaun","Prince","MEM",10.2,0.075,-0.9,0.3
"257",1812,"Darrell","Arthur","MEM",11.8,0.084,-2.4,-0.1
"258",144,"Wayne","Ellington","MEM",9.8,0.094,-0.6,0.2
"259",1818,"Marreese","Speights","MEM",16.1,0.116,-2.4,0
"260",118,"Ed","Davis","MEM",17.2,0.183,-0.1,0.3
"261",1853,"Austin","Daye","MEM",13.3,0.127,1.1,0.3
"262",2004,"Tony","Wroten","MEM",9.3,0.017,-3.8,-0.1
"264",2024,"Chris","Johnson","MEM",10.7,0.112,0.5,0.1
"265",276,"Jon","Leuer","MEM",17.2,0.198,1,0.1
