"","last_name","first_name","team","PER","WS.48","BPM","VORP"
"174","Bazemore","Kent","GSW",11.3,0.014,-2.4,0
"175","Tyler","Jeremy","GSW",6.1,-0.063,-9.4,-0.1
"176","Rush","Brandon","GSW",11.9,0.051,-1,0
"177","Thomas","Malcolm","GSW",8.8,0.077,0.4,0
"178","Harden","James","HOU",23,0.206,5.6,5.8
"179","Parsons","Chandler","HOU",15.3,0.121,2,2.8
"180","Lin","Jeremy","HOU",14.9,0.099,0.3,1.5
"181","Aşık","Ömer","HOU",14.9,0.108,-1.6,0.3
"182","Delfino","Carlos","HOU",13.3,0.101,1.4,1.5
"183","Patterson","Patrick","HOU",15.5,0.12,0.2,0.7
"184","Morris","Marcus","HOU",12.1,0.084,-1.2,0.2
"185","Smith","Greg","HOU",16.1,0.172,-0.6,0.4
"186","Douglas","Toney","HOU",12.3,0.081,-1.5,0.1
"187","Beverley","Patrick","HOU",15.4,0.148,3.8,1
"188","Motiejūnas","Donatas","HOU",12.2,0.061,-3.5,-0.2
"189","García","Francisco","HOU",12.2,0.101,1.8,0.3
"190","Anderson","James","HOU",14.2,0.105,1.2,0.2
"191","Jones","Terrence","HOU",17.1,0.128,1.7,0.3
"192","Robinson","Thomas","HOU",12,0.024,-4.2,-0.1
"193","Aldrich","Cole","HOU",7.3,0.038,-5,-0.2
"194","Cook","Daequan","HOU",8.8,0.03,-1.6,0
"195","Brooks","Aaron","HOU",5.6,-0.063,-4,0
"196","Machado","Scott","HOU",6,-0.23,-8.8,0
"197","Ohlbrecht","Tim","HOU",-6.1,-0.369,-17.2,0
"198","George","Paul","IND",16.8,0.145,3.8,4.4
"199","Hill","George","IND",16.6,0.177,3.3,3.5
"200","West","David","IND",20.1,0.179,4,3.7
"201","Stephenson","Lance","IND",11.8,0.115,0,1.2
"202","Hibbert","Roy","IND",17.3,0.129,-0.3,0.9
"203","Hansbrough","Tyler","IND",15.3,0.154,-1.9,0
"204","Mahinmi","Ian","IND",10.6,0.083,-3.4,-0.5
"205","Augustin","D.J.","IND",11,0.112,-0.6,0.5
"206","Green","Gerald","IND",9.9,0.056,-1.9,0
